Module                  Size  Used by
veth                   40960  0
xt_conntrack           12288  4
xt_MASQUERADE          16384  4
nf_conntrack_netlink    61440  0
xfrm_user              61440  1
xfrm_algo              16384  1 xfrm_user
iptable_nat            12288  1
nf_nat                 65536  2 iptable_nat,xt_MASQUERADE
nf_conntrack          208896  4 xt_conntrack,nf_nat,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
libcrc32c              12288  2 nf_conntrack,nf_nat
xt_addrtype            12288  2
iptable_filter         12288  1
br_netfilter           36864  0
bridge                446464  1 br_netfilter
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
overlay               233472  0
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               131072  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
ccm                    20480  3
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_sof_amd_acp        73728  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
intel_rapl_msr         20480  0
snd_sof_pci            24576  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
amd_atl                40960  1
snd_sof_xtensa_dsp     16384  1 snd_sof_amd_acp
intel_rapl_common      45056  1 intel_rapl_msr
snd_sof               466944  2 snd_sof_amd_acp,snd_sof_pci
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             28672  0
amdgpu              13885440  17
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
kvm_amd               204800  0
soundwire_generic_allocation    12288  1 soundwire_amd
soundwire_bus         143360  2 soundwire_generic_allocation,soundwire_amd
kvm                  1396736  1 kvm_amd
snd_ctl_led            24576  0
ath10k_pci             65536  0
ledtrig_audio          12288  1 snd_ctl_led
snd_soc_core          483328  2 snd_sof,soundwire_amd
ath10k_core           794624  1 ath10k_pci
snd_hda_codec_realtek   204800  1
snd_compress           28672  1 snd_soc_core
snd_hda_codec_generic   114688  1 snd_hda_codec_realtek
